Start of Week,Date,Avg Fuel_Price,Avg CPI,Avg Unemployment,Week,Year,Avg Temperature C,Holiday Name,Total Weekly_Sales
2010-01-30,2010-02-05,2.7166666666666655,167.73090444444443,8.619311111111111,5,2010,1.2,No Holiday,49750740.5
2010-02-06,2010-02-12,2.694222222222221,167.82561555555546,8.619311111111115,6,2010,1.288888888888889,No Holiday,48336677.63000001
2010-02-13,2010-02-19,2.671111111111111,167.8716955555556,8.61931111111111,7,2010,3.1777777777777776,No Holiday,48276993.779999994
2010-02-20,2010-02-26,2.682666666666667,167.9096622222222,8.619311111111111,8,2010,3.9555555555555557,No Holiday,43968571.13000001
2010-02-27,2010-03-05,2.7306666666666684,167.94764222222227,8.619311111111115,9,2010,6.111111111111111,No Holiday,46871470.29999999
2010-03-06,2010-03-12,2.7737777777777777,167.98560888888886,8.619311111111111,10,2010,8.6,No Holiday,45925396.50999999
2010-03-13,2010-03-19,2.8151111111111105,167.93041333333343,8.619311111111111,11,2010,9.977777777777778,No Holiday,44988974.64000001
2010-03-20,2010-03-26,2.8226666666666658,167.8597355555555,8.619311111111111,12,2010,9.155555555555555,No Holiday,44133961.05
2010-03-27,2010-04-02,2.8284444444444437,167.78904888888894,8.49771111111111,13,2010,11.666666666666666,No Holiday,50423831.25999998
2010-04-03,2010-04-09,2.8528888888888884,167.71833777777778,8.497711111111112,14,2010,14.644444444444444,No Holiday,47365290.440000005
2010-04-10,2010-04-16,2.8891111111111116,167.66303333333337,8.49771111111111,15,2010,14.4,No Holiday,45183667.08
2010-04-17,2010-04-23,2.884,167.62827777777775,8.49771111111111,16,2010,13.88888888888889,No Holiday,44734452.559999995
2010-04-24,2010-04-30,2.8915555555555557,167.59350000000006,8.49771111111111,17,2010,14.466666666666667,No Holiday,43705126.70999999
2010-05-01,2010-05-07,2.9348888888888887,167.5587266666667,8.497711111111109,18,2010,17.933333333333334,No Holiday,48503243.519999996
2010-05-08,2010-05-14,2.944,167.5464688888889,8.49771111111111,19,2010,15.822222222222223,No Holiday,45330080.20000002
2010-05-15,2010-05-21,2.9262222222222216,167.66942666666668,8.49771111111111,20,2010,19.044444444444444,No Holiday,45120108.06
2010-05-22,2010-05-28,2.8686666666666674,167.7923733333334,8.49771111111111,21,2010,21.4,No Holiday,47757502.56000002
2010-05-29,2010-06-04,2.8080000000000007,167.91534000000001,8.497711111111109,22,2010,22.88888888888889,No Holiday,50188543.11999999
2010-06-05,2010-06-11,2.7893333333333343,168.0382822222222,8.49771111111111,23,2010,23.711111111111112,No Holiday,47826546.72
2010-06-12,2010-06-18,2.763333333333333,168.04937111111101,8.49771111111111,24,2010,23.2,No Holiday,47622046.230000004
2010-06-19,2010-06-25,2.7904444444444447,168.01573999999997,8.497711111111112,25,2010,26.022222222222222,No Holiday,46609036.289999984
2010-06-26,2010-07-02,2.7951111111111104,167.98211555555557,8.428577777777775,26,2010,25.11111111111111,No Holiday,48917484.5
2010-07-03,2010-07-09,2.7833333333333328,167.94845555555548,8.428577777777779,27,2010,26.08888888888889,Independence Day,47899529.36999999
2010-07-10,2010-07-16,2.761111111111112,167.95822666666666,8.428577777777777,28,2010,26.91111111111111,No Holiday,46243899.580000006
2010-07-17,2010-07-23,2.762888888888889,168.0258844444444,8.428577777777777,29,2010,27.288888888888888,No Holiday,44888849.11000001
2010-07-24,2010-07-30,2.766666666666667,168.09351999999996,8.428577777777777,30,2010,26.266666666666666,No Holiday,44630363.42000002
2010-07-31,2010-08-06,2.776666666666666,168.16116444444447,8.428577777777779,31,2010,26.68888888888889,No Holiday,48204999.12000001
2010-08-07,2010-08-13,2.8059999999999996,168.2287955555556,8.428577777777777,32,2010,26.4,No Holiday,46464418.410000004
2010-08-14,2010-08-20,2.782888888888888,168.2287844444445,8.428577777777777,33,2010,26.377777777777776,No Holiday,47060952.92000002
2010-08-21,2010-08-27,2.7631111111111117,168.22879333333324,8.428577777777777,34,2010,24.822222222222223,No Holiday,45909740.44000001
2010-08-28,2010-09-03,2.7448888888888883,168.22878444444441,8.428577777777777,35,2010,24.68888888888889,No Holiday,47194257.60999999
2010-09-04,2010-09-10,2.7200000000000006,168.22879999999998,8.428577777777777,36,2010,22.444444444444443,No Holiday,45634397.84
2010-09-11,2010-09-17,2.7364444444444427,168.2567799999999,8.428577777777775,37,2010,21.8,No Holiday,43080726.51000001
2010-09-18,2010-09-24,2.7373333333333347,168.30572666666666,8.428577777777777,38,2010,21.666666666666668,No Holiday,41358514.410000004
2010-09-25,2010-10-01,2.7339999999999995,168.3547044444444,8.47528888888889,39,2010,21.044444444444444,No Holiday,42239875.87
2010-10-02,2010-10-08,2.756666666666667,168.40368444444448,8.475288888888889,40,2010,16.488888888888887,No Holiday,45102974.23
2010-10-09,2010-10-15,2.835777777777778,168.45303111111104,8.475288888888887,41,2010,16.08888888888889,No Holiday,43149473.449999996
2010-10-16,2010-10-22,2.8495555555555545,168.50330444444447,8.475288888888889,42,2010,15.066666666666666,No Holiday,43066669.52000001
2010-10-23,2010-10-29,2.8588888888888886,168.55359555555552,8.475288888888887,43,2010,15.0,No Holiday,43602830.94999999
2010-10-30,2010-11-05,2.8442222222222213,168.6039066666666,8.475288888888887,44,2010,11.577777777777778,No Holiday,45781981.88999999
2010-11-06,2010-11-12,2.872888888888889,168.6542066666666,8.47528888888889,45,2010,10.222222222222221,No Holiday,46124800.830000006
2010-11-13,2010-11-19,2.9113333333333333,168.60610888888897,8.475288888888889,46,2010,9.022222222222222,No Holiday,45125584.17999999
2010-11-20,2010-11-26,2.919333333333332,168.54162,8.475288888888889,47,2010,8.88888888888889,Thanksgiving Day,65821003.23999998
2010-11-27,2010-12-03,2.8891111111111116,168.4771066666667,8.475288888888889,48,2010,5.333333333333333,No Holiday,49909027.88000001
2010-12-04,2010-12-10,2.975777777777779,168.41261111111106,8.475288888888887,49,2010,4.0,No Holiday,55666770.389999986
2010-12-11,2010-12-17,3.005555555555557,168.4154844444445,8.475288888888887,50,2010,4.688888888888889,No Holiday,61820799.85
2010-12-18,2010-12-24,3.0233333333333325,168.46888222222213,8.475288888888889,51,2010,5.177777777777778,Christmas,80931415.6
2010-12-25,2010-12-31,3.0450000000000013,167.6215152173913,8.456478260869568,52,2010,2.608695652173913,Christmas,40432519.00000001
2011-01-01,2011-01-07,3.0854347826086945,167.67601739130433,8.26021739130435,1,2011,1.434782608695652,New Year's Day,42775787.77000001
2011-01-08,2011-01-14,3.1037777777777773,168.65174000000005,8.291199999999998,2,2011,-0.7555555555555555,No Holiday,40673678.04
2011-01-15,2011-01-21,3.1275555555555563,168.8638711111111,8.2912,3,2011,3.0444444444444443,No Holiday,40654648.03
2011-01-22,2011-01-28,3.1344444444444455,169.07601111111111,8.2912,4,2011,1.2,No Holiday,39599852.99
2011-01-29,2011-02-04,3.1351111111111103,169.28814888888888,8.291199999999998,5,2011,-0.9333333333333333,No Holiday,46153111.12
2011-02-05,2011-02-11,3.1626666666666665,169.50028444444442,8.291199999999998,6,2011,0.06666666666666667,No Holiday,47336192.79000002
2011-02-12,2011-02-18,3.1800000000000006,169.6932044444445,8.291200000000002,7,2011,7.711111111111111,No Holiday,48716164.12000001
2011-02-19,2011-02-25,3.2100000000000004,169.87847777777785,8.291199999999998,8,2011,6.2444444444444445,No Holiday,44125859.839999996
2011-02-26,2011-03-04,3.3946666666666663,170.06374888888882,8.291199999999998,9,2011,7.111111111111111,No Holiday,46980603.739999995
2011-03-05,2011-03-11,3.5375555555555542,170.2490066666667,8.2912,10,2011,8.422222222222222,No Holiday,44627319.4
2011-03-12,2011-03-18,3.5797777777777773,170.41337777777773,8.291200000000002,11,2011,11.6,No Holiday,44872325.97000001
2011-03-19,2011-03-25,3.5746666666666664,170.56941111111115,8.2912,12,2011,10.88888888888889,No Holiday,42876199.17999999
2011-03-26,2011-04-01,3.6013333333333346,170.72541999999999,8.150133333333335,13,2011,9.355555555555556,No Holiday,43458991.18999999
2011-04-02,2011-04-08,3.6948888888888898,170.88144666666673,8.150133333333336,14,2011,13.088888888888889,No Holiday,45887466.79999999
2011-04-09,2011-04-15,3.7928888888888883,171.02388444444452,8.150133333333333,15,2011,13.8,No Holiday,44973328.13999999
2011-04-16,2011-04-22,3.857777777777777,171.1323977777778,8.150133333333335,16,2011,15.155555555555555,No Holiday,48676692.05999997
2011-04-23,2011-04-29,3.9008888888888906,171.24090444444442,8.150133333333333,17,2011,16.733333333333334,No Holiday,43530032.78000001
2011-04-30,2011-05-06,3.982444444444444,171.34941555555554,8.150133333333335,18,2011,14.577777777777778,No Holiday,46861958.28999999
2011-05-07,2011-05-13,3.9920000000000004,171.4579355555555,8.150133333333335,19,2011,18.355555555555554,No Holiday,45446144.819999985
2011-05-14,2011-05-20,3.984888888888889,171.38619555555562,8.150133333333335,20,2011,16.91111111111111,No Holiday,44046598.01
2011-05-21,2011-05-27,3.9020000000000015,171.31446888888874,8.150133333333335,21,2011,20.88888888888889,No Holiday,45293457.04000001
2011-05-28,2011-06-03,3.8355555555555543,171.24271333333337,8.150133333333335,22,2011,23.044444444444444,No Holiday,48771994.179999985
2011-06-04,2011-06-10,3.801777777777778,171.17096222222227,8.150133333333333,23,2011,23.755555555555556,No Holiday,47669734.66000002
2011-06-11,2011-06-17,3.771555555555554,171.19702444444448,8.150133333333336,24,2011,23.8,No Holiday,47447561.77000002
2011-06-18,2011-06-24,3.7264444444444442,171.2964377777778,8.150133333333336,25,2011,24.6,No Holiday,45884094.58000001
2011-06-25,2011-07-01,3.6755555555555564,171.3958355555555,8.09748888888889,26,2011,25.977777777777778,No Holiday,47578519.5
2011-07-02,2011-07-08,3.6266666666666665,171.49522000000005,8.097488888888888,27,2011,26.6,Independence Day,47859263.78
2011-07-09,2011-07-15,3.676222222222223,171.58641999999998,8.09748888888889,28,2011,26.622222222222224,No Holiday,45515929.92
2011-07-16,2011-07-22,3.7226666666666683,171.65720222222225,8.097488888888888,29,2011,27.844444444444445,No Holiday,45274411.39
2011-07-23,2011-07-29,3.7428888888888903,171.72796222222226,8.097488888888892,30,2011,27.22222222222222,No Holiday,43683274.28
2011-07-30,2011-08-05,3.7548888888888903,171.79870888888888,8.097488888888892,31,2011,27.466666666666665,No Holiday,48015466.97
2011-08-06,2011-08-12,3.724444444444443,171.86948888888898,8.097488888888892,32,2011,26.955555555555556,No Holiday,46249569.20999999
2011-08-13,2011-08-19,3.6653333333333338,171.92757111111115,8.097488888888888,33,2011,26.177777777777777,No Holiday,46917347.61999999
2011-08-20,2011-08-26,3.635333333333334,171.9835466666667,8.09748888888889,34,2011,26.733333333333334,No Holiday,47416948.449999996
2011-08-27,2011-09-02,3.6497777777777776,172.03949999999998,8.097488888888888,35,2011,26.266666666666666,No Holiday,45376623.27
2011-09-03,2011-09-09,3.683555555555556,172.0954733333333,8.09748888888889,36,2011,23.08888888888889,No Holiday,46763227.52999999
2011-09-10,2011-09-16,3.6819999999999995,172.20284444444445,8.097488888888888,37,2011,21.8,No Holiday,43793960.08
2011-09-17,2011-09-23,3.637333333333333,172.37872222222222,8.097488888888888,38,2011,20.42222222222222,No Holiday,42718096.730000004
2011-09-24,2011-09-30,3.580666666666667,172.55463777777777,8.09748888888889,39,2011,22.6,No Holiday,42195830.809999995
2011-10-01,2011-10-07,3.518444444444445,172.7305333333333,7.804222222222225,40,2011,17.22222222222222,No Holiday,47211688.36000001
2011-10-08,2011-10-14,3.4862222222222226,172.89228666666656,7.804222222222222,41,2011,17.266666666666666,No Holiday,44374820.3
2011-10-15,2011-10-21,3.5448888888888876,172.96936888888885,7.8042222222222195,42,2011,16.044444444444444,No Holiday,45818953.43999999
2011-10-22,2011-10-28,3.540444444444444,173.04643555555563,7.804222222222221,43,2011,13.8,No Holiday,45855821.05000001
2011-10-29,2011-11-04,3.5226666666666677,173.12348444444436,7.804222222222223,44,2011,9.466666666666667,No Holiday,48655544.29999998
2011-11-05,2011-11-11,3.4891111111111117,173.2005288888889,7.804222222222219,45,2011,9.488888888888889,No Holiday,48474224.75
2011-11-12,2011-11-18,3.488,173.30047111111105,7.8042222222222195,46,2011,11.266666666666667,No Holiday,46438980.56
2011-11-19,2011-11-25,3.4348888888888887,173.40955777777782,7.804222222222221,47,2011,9.844444444444445,Thanksgiving Day,66593605.260000005
2011-11-26,2011-12-02,3.3937777777777773,173.5186333333333,7.804222222222222,48,2011,7.733333333333333,No Holiday,49390556.49
2011-12-03,2011-12-09,3.362444444444443,173.62772666666663,7.8042222222222195,49,2011,3.422222222222222,No Holiday,55561147.7
2011-12-10,2011-12-16,3.3331111111111102,173.7433355555555,7.804222222222222,50,2011,5.044444444444444,No Holiday,60085695.93999999
2011-12-17,2011-12-23,3.291111111111111,173.86762222222214,7.804222222222222,51,2011,4.222222222222222,No Holiday,76998241.31
2011-12-24,2011-12-30,3.2720000000000007,173.99193555555547,7.804222222222222,52,2011,3.2444444444444445,Christmas,46042461.04000001
2011-12-31,2012-01-06,3.2912765957446797,173.6581574468085,7.494361702127662,1,2012,4.872340425531915,New Year's Day,44955421.949999996
2012-01-07,2012-01-13,3.3706666666666676,174.24052888888886,7.508333333333332,2,2012,4.155555555555556,No Holiday,42023078.480000004
2012-01-14,2012-01-20,3.391999999999999,174.31811777777773,7.508333333333335,3,2012,4.311111111111111,No Holiday,42080996.56000001
2012-01-21,2012-01-27,3.413333333333333,174.39574,7.5083333333333355,4,2012,5.933333333333334,No Holiday,39834974.67
2012-01-28,2012-02-03,3.451555555555556,174.47333555555554,7.508333333333335,5,2012,7.111111111111111,No Holiday,46085608.09
2012-02-04,2012-02-10,3.501777777777777,174.55092222222217,7.508333333333334,6,2012,4.288888888888889,No Holiday,50009407.92000001
2012-02-11,2012-02-17,3.5617777777777797,174.65904888888895,7.5083333333333355,7,2012,4.511111111111111,No Holiday,50197056.959999986
2012-02-18,2012-02-24,3.621999999999999,174.79009111111097,7.5083333333333355,8,2012,7.333333333333333,No Holiday,45771506.56999999
2012-02-25,2012-03-02,3.696444444444443,174.92113333333333,7.5083333333333355,9,2012,7.4222222222222225,No Holiday,46861034.97
2012-03-03,2012-03-09,3.7535555555555535,175.05218222222217,7.5083333333333355,10,2012,8.6,No Holiday,47480454.11000001
2012-03-10,2012-03-16,3.8264444444444456,175.16237999999998,7.508333333333334,11,2012,12.644444444444444,No Holiday,46901504.94
2012-03-17,2012-03-23,3.868888888888888,175.24479111111114,7.508333333333335,12,2012,14.0,No Holiday,44993794.45
2012-03-24,2012-03-30,3.9308888888888878,175.32721999999995,7.508333333333335,13,2012,14.177777777777777,No Holiday,45272862.02000001
2012-03-31,2012-04-06,3.9644444444444433,175.40963333333335,7.419533333333333,14,2012,13.88888888888889,No Holiday,53502315.86999999
2012-04-07,2012-04-13,3.99711111111111,175.4920644444445,7.419533333333331,15,2012,14.644444444444444,No Holiday,46629261.41000002
2012-04-14,2012-04-20,3.9857777777777774,175.52563555555557,7.419533333333331,16,2012,16.266666666666666,No Holiday,45072529.779999994
2012-04-21,2012-04-27,3.948666666666668,175.55921555555554,7.419533333333333,17,2012,17.2,No Holiday,43716798.88999999
2012-04-28,2012-05-04,3.9064444444444457,175.59279777777783,7.419533333333331,18,2012,18.044444444444444,No Holiday,47124197.93000001
2012-05-05,2012-05-11,3.8715555555555556,175.62636666666674,7.419533333333334,19,2012,18.2,No Holiday,46925878.989999995
2012-05-12,2012-05-18,3.835333333333333,175.62732666666665,7.41953333333333,20,2012,19.711111111111112,No Holiday,46823939.219999984
2012-05-19,2012-05-25,3.7880000000000003,175.6152666666667,7.419533333333331,21,2012,22.133333333333333,No Holiday,47892463.31
2012-05-26,2012-06-01,3.7511111111111113,175.60317777777783,7.419533333333334,22,2012,22.822222222222223,No Holiday,48281649.72000002
2012-06-02,2012-06-08,3.688888888888888,175.5911111111111,7.419533333333331,23,2012,22.244444444444444,No Holiday,49651171.78000001
2012-06-09,2012-06-15,3.643333333333333,175.5881933333333,7.419533333333334,24,2012,23.91111111111111,No Holiday,48412110.69999999
2012-06-16,2012-06-22,3.591555555555555,175.60818666666677,7.419533333333331,25,2012,25.377777777777776,No Holiday,47668284.970000006
2012-06-23,2012-06-29,3.5253333333333337,175.6281888888889,7.41953333333333,26,2012,26.822222222222223,No Holiday,46597112.120000005
2012-06-30,2012-07-06,3.463333333333334,175.6481488888889,7.237333333333332,27,2012,26.711111111111112,Independence Day,51253021.88
2012-07-07,2012-07-13,3.48,175.66815333333335,7.237333333333335,28,2012,26.11111111111111,No Holiday,46099732.09999998
2012-07-14,2012-07-20,3.5011111111111126,175.67352222222215,7.237333333333332,29,2012,25.977777777777778,No Holiday,46059543.45
2012-07-21,2012-07-27,3.5799999999999987,175.6788911111111,7.237333333333335,30,2012,26.533333333333335,No Holiday,44097154.970000006
2012-07-28,2012-08-03,3.566222222222222,175.68426444444455,7.237333333333332,31,2012,26.866666666666667,No Holiday,47485899.56000001
2012-08-04,2012-08-10,3.631111111111111,175.68964222222218,7.237333333333334,32,2012,27.57777777777778,No Holiday,47403451.04
2012-08-11,2012-08-17,3.7191111111111095,175.74353111111117,7.237333333333331,33,2012,26.377777777777776,No Holiday,47354452.05
2012-08-18,2012-08-24,3.7595555555555578,175.83386222222225,7.237333333333334,34,2012,23.57777777777778,No Holiday,47447323.59999997
2012-08-25,2012-08-31,3.7702222222222215,175.92416222222224,7.237333333333334,35,2012,25.488888888888887,No Holiday,47159639.43000001
2012-09-01,2012-09-07,3.8426666666666662,176.0144511111111,7.237333333333331,36,2012,25.466666666666665,No Holiday,48330059.309999995
2012-09-08,2012-09-14,3.8539999999999988,176.1106622222222,7.237333333333332,37,2012,21.22222222222222,No Holiday,44226038.650000006
2012-09-15,2012-09-21,3.906888888888888,176.24210666666673,7.237333333333332,38,2012,19.933333333333334,No Holiday,44354547.109999985
2012-09-22,2012-09-28,3.8573333333333313,176.37358888888883,7.237333333333332,39,2012,20.333333333333332,No Holiday,43734899.400000006
2012-09-29,2012-10-05,3.846444444444445,176.50505111111113,6.953711111111113,40,2012,18.866666666666667,No Holiday,47566639.30999999
2012-10-06,2012-10-12,3.8973333333333318,176.63650666666666,6.953711111111113,41,2012,14.577777777777778,No Holiday,46128514.249999985
2012-10-13,2012-10-19,3.878666666666667,176.65262222222213,6.953711111111113,42,2012,15.933333333333334,No Holiday,45122410.570000015
2012-10-20,2012-10-26,3.7931111111111093,176.64948666666663,6.953711111111111,43,2012,16.08888888888889,No Holiday,45544116.29000001
